node,distance_km,hmax_m,hmax_time_h,safe_depth_m,design_depth_m,exceeds_safe,exceeds_design
230,10.052762,2.901145,14.000000,3.456000,3.840000,False,False
231,10.096433,2.897518,14.000000,3.456000,3.840000,False,False
232,10.140103,2.893867,14.000000,3.456000,3.840000,False,False
233,10.183774,2.890193,14.000000,3.456000,3.840000,False,False
234,10.227444,2.886495,14.000000,3.456000,3.840000,False,False
235,10.271114,2.882774,14.000000,3.456000,3.840000,False,False
236,10.314785,2.879028,14.000000,3.456000,3.840000,False,False
237,10.358455,2.875259,14.000000,3.456000,3.840000,False,False
238,10.402126,2.871464,14.000000,3.456000,3.840000,False,False
239,10.445796,2.867645,14.000000,3.456000,3.840000,False,False
240,10.489467,2.863800,14.000000,3.456000,3.840000,False,False
241,10.533137,2.859930,14.000000,3.456000,3.840000,False,False
242,10.576807,2.856033,14.000000,3.456000,3.840000,False,False
243,10.620478,2.852111,14.000000,3.456000,3.840000,False,False
244,10.664148,2.848162,14.000000,3.456000,3.840000,False,False
245,10.707819,2.844186,14.000000,3.456000,3.840000,False,False
246,10.751489,2.840183,14.000000,3.456000,3.840000,False,False
247,10.795160,2.836152,14.000000,3.456000,3.840000,False,False
248,10.838830,2.832093,14.000000,3.456000,3.840000,False,False
249,10.882500,2.828005,14.000000,3.456000,3.840000,False,False
250,10.926171,2.823889,14.000000,3.456000,3.840000,False,False
251,10.969841,2.819744,14.000000,3.456000,3.840000,False,False
252,11.013512,2.815569,14.000000,3.456000,3.840000,False,False
253,11.057182,2.811364,14.000000,3.456000,3.840000,False,False
254,11.100853,2.807129,14.000000,3.456000,3.840000,False,False
255,11.144523,2.802863,14.000000,3.456000,3.840000,False,False
256,11.188193,2.798566,14.000000,3.456000,3.840000,False,False
257,11.231864,2.794237,14.000000,3.456000,3.840000,False,False
258,11.275534,2.789876,14.000000,3.456000,3.840000,False,False
259,11.319205,2.785483,14.000000,3.456000,3.840000,False,False
260,11.362875,2.781056,14.000000,3.456000,3.840000,False,False
261,11.406546,2.776596,14.000000,3.456000,3.840000,False,False
262,11.450216,2.772102,14.000000,3.456000,3.840000,False,False
263,11.493886,2.767574,14.000000,3.456000,3.840000,False,False
264,11.537557,2.763010,14.000000,3.456000,3.840000,False,False
265,11.581227,2.758411,14.000000,3.456000,3.840000,False,False
266,11.624898,2.753775,14.000000,3.456000,3.840000,False,False
267,11.668568,2.749103,14.000000,3.456000,3.840000,False,False
268,11.712239,2.744394,14.000000,3.456000,3.840000,False,False
269,11.755909,2.739647,14.000000,3.456000,3.840000,False,False
270,11.799579,2.734862,14.000000,3.456000,3.840000,False,False
271,11.843250,2.730037,14.000000,3.456000,3.840000,False,False
272,11.886920,2.725173,14.000000,3.456000,3.840000,False,False
273,11.930591,2.720269,14.000000,3.456000,3.840000,False,False
274,11.974261,2.715323,14.000000,3.456000,3.840000,False,False
275,12.017932,2.710336,14.000000,3.456000,3.840000,False,False
276,12.061602,2.705307,14.000000,3.456000,3.840000,False,False
277,12.105272,2.700235,14.000000,3.456000,3.840000,False,False
278,12.148943,2.695119,14.000000,3.456000,3.840000,False,False
279,12.192613,2.689958,14.000000,3.456000,3.840000,False,False
280,12.236284,2.684752,14.000000,3.456000,3.840000,False,False
281,12.279954,2.679501,14.000000,3.456000,3.840000,False,False
282,12.323625,2.674202,14.000000,3.456000,3.840000,False,False
283,12.367295,2.668855,14.000000,3.456000,3.840000,False,False
284,12.410965,2.663461,14.000000,3.456000,3.840000,False,False
285,12.454636,2.658016,14.000000,3.456000,3.840000,False,False
286,12.498306,2.652056,14.000000,3.456000,3.840000,False,False
287,12.560036,2.648845,14.000000,3.456000,3.840000,False,False
288,12.603707,2.655216,14.000000,3.456000,3.840000,False,False
289,12.647377,2.668305,14.000000,3.456000,3.840000,False,False
290,12.691048,2.681520,14.000000,3.456000,3.840000,False,False
291,12.734718,2.694853,14.000000,3.456000,3.840000,False,False
292,12.778388,2.708302,14.000000,3.456000,3.840000,False,False
293,12.822059,2.721865,14.000000,3.456000,3.840000,False,False
294,12.865729,2.735542,14.000000,3.456000,3.840000,False,False
295,12.909400,2.749329,14.000000,3.456000,3.840000,False,False
296,12.953070,2.763227,14.000000,3.456000,3.840000,False,False
297,12.996741,2.776885,14.000000,3.456000,3.840000,False,False
298,13.035164,2.786566,14.000000,3.456000,3.840000,False,False
299,13.078835,2.788038,14.000000,3.456000,3.840000,False,False
300,13.122505,2.784967,14.000000,3.456000,3.840000,False,False
301,13.166175,2.781872,14.000000,3.456000,3.840000,False,False
302,13.209846,2.778754,14.000000,3.456000,3.840000,False,False
303,13.253516,2.775613,14.000000,3.456000,3.840000,False,False
304,13.297187,2.772449,14.000000,3.456000,3.840000,False,False
305,13.340857,2.769261,14.000000,3.456000,3.840000,False,False
306,13.384528,2.766050,14.000000,3.456000,3.840000,False,False
307,13.428198,2.762814,14.000000,3.456000,3.840000,False,False
308,13.471868,2.759554,14.000000,3.456000,3.840000,False,False
309,13.515539,2.756269,14.000000,3.456000,3.840000,False,False
310,13.559209,2.752960,14.000000,3.456000,3.840000,False,False
311,13.602880,2.749625,14.000000,3.456000,3.840000,False,False
312,13.646550,2.746264,14.000000,3.456000,3.840000,False,False
313,13.690221,2.742877,14.000000,3.456000,3.840000,False,False
314,13.733891,2.739464,14.000000,3.456000,3.840000,False,False
315,13.777561,2.736024,14.000000,3.456000,3.840000,False,False
316,13.821232,2.732557,14.000000,3.456000,3.840000,False,False
317,13.864902,2.729062,14.000000,3.456000,3.840000,False,False
318,13.908573,2.725540,14.000000,3.456000,3.840000,False,False
319,13.952243,2.721989,14.000000,3.456000,3.840000,False,False
