time_h,W_71_m3,W_89_m3,W_150_m3,W_194_m3,W_287_m3,W_349_m3,W_383_m3
4.650000,216123.658,180066.856,37687.123,32152.584,17354.782,615.146,0.000
4.666667,217075.651,180904.488,37915.031,32395.071,17693.553,690.484,0.000
4.683333,218027.657,181742.157,38143.033,32637.713,18033.790,768.429,0.000
4.700000,218979.676,182579.863,38371.128,32880.507,18375.471,848.855,0.000
4.716667,219931.709,183417.604,38599.315,33123.453,18718.570,931.647,0.000
4.733333,220883.756,184255.380,38827.592,33366.547,19063.063,1016.702,0.000
4.750000,221835.815,185093.192,39055.959,33609.788,19408.924,1103.924,0.000
4.766667,222787.888,185931.039,39284.414,33853.173,19756.129,1193.227,0.000
4.783333,223739.974,186768.921,39512.957,34096.701,20104.652,1284.531,0.000
4.800000,224692.072,187606.837,39741.586,34340.370,20454.471,1377.761,0.000
4.816667,225644.183,188444.787,39970.299,34584.177,20805.564,1472.849,0.000
4.833333,226596.307,189282.770,40199.097,34828.121,21157.907,1569.729,0.000
4.850000,227548.443,190120.787,40427.978,35072.200,21511.481,1668.342,0.000
4.866667,228500.592,190958.837,40656.940,35316.413,21866.263,1768.632,0.000
4.883333,229452.753,191796.919,40885.984,35560.756,22222.235,1870.545,0.000
4.900000,230404.926,192635.034,41115.107,35805.230,22579.375,1974.031,0.000
4.916667,231357.112,193473.181,41344.309,36049.831,22937.666,2079.043,0.000
4.933333,232309.309,194311.359,41573.589,36294.558,23297.087,2185.538,0.000
4.950000,233261.518,195149.569,41802.946,36539.410,23657.621,2293.472,0.000
4.966667,234213.739,195987.810,42032.379,36784.386,24019.250,2402.805,0.000
4.983333,235165.971,196826.082,42261.887,37029.482,24381.956,2513.501,0.000
5.000000,236118.215,197664.384,42491.469,37274.698,24745.722,2625.521,0.000
5.016667,237070.471,198502.716,42721.125,37520.033,25110.532,2738.832,0.000
5.033333,238022.737,199341.079,42950.852,37765.484,25476.370,2853.402,0.000
5.050000,238975.015,200179.470,43180.652,38011.050,25843.219,2969.198,0.000
5.066667,239927.304,201017.892,43410.521,38256.730,26211.064,3086.191,0.000
5.083333,240879.604,201856.342,43640.461,38502.523,26579.891,3204.351,0.000
5.100000,241831.915,202694.820,43870.469,38748.426,26949.683,3323.652,0.000
5.116667,242784.236,203533.327,44100.545,38994.439,27320.428,3444.067,0.000
5.133333,243736.568,204371.862,44330.689,39240.560,27692.110,3565.570,6.123
5.150000,244688.911,205210.425,44560.899,39486.787,28064.716,3688.138,24.529
5.166667,245641.264,206049.016,44791.175,39733.120,28438.233,3811.746,50.544
5.183333,246593.627,206887.633,45021.516,39979.557,28812.647,3936.373,82.513
5.200000,247546.001,207726.278,45251.920,40226.096,29187.946,4061.997,119.489
5.216667,248498.385,208564.949,45482.388,40472.737,29564.116,4188.596,160.837
5.233333,249450.779,209403.647,45712.919,40719.478,29941.146,4316.151,206.098
5.250000,250000.000,210242.370,45943.511,40966.318,30319.024,4444.641,254.916
5.266667,250000.000,211081.141,46174.165,41213.256,30697.737,4574.044,307.008
5.283333,250000.000,211923.550,46404.879,41460.290,31077.274,4704.336,362.137
5.300000,250000.000,212779.888,46635.653,41707.419,31457.624,4835.491,420.106
5.316667,250000.000,213645.727,46866.485,41954.642,31838.775,4967.485,480.745
5.333333,250000.000,214517.768,47097.376,42201.958,32220.718,5100.295,543.903
5.350000,250000.000,215395.330,47328.325,42449.366,32603.440,5233.901,609.451
5.366667,250000.000,216277.979,47559.330,42696.864,32986.932,5368.285,677.272
5.383333,250000.000,217165.343,47790.393,42944.452,33371.184,5503.429,747.260
5.400000,250000.000,218057.091,48021.522,43192.128,33756.186,5639.317,819.321
5.416667,250000.000,218952.927,48252.786,43439.892,34141.927,5775.932,893.367
5.433333,250000.000,219852.579,48484.370,43687.741,34528.399,5913.259,969.321
5.450000,250000.000,220755.797,48716.481,43935.676,34915.591,6051.284,1047.108
5.466667,250000.000,221662.353,48949.203,44183.695,35303.495,6189.992,1126.662
5.483333,250000.000,222572.039,49182.537,44431.798,35692.101,6329.368,1207.921
5.500000,250000.000,223484.668,49416.478,44679.989,36081.400,6469.401,1290.825
5.516667,250000.000,224400.068,49651.031,44928.290,36471.384,6610.078,1375.320
5.533333,250000.000,225318.084,49886.203,45176.752,36862.042,6751.385,1461.357
5.550000,250000.000,226238.575,50122.001,45425.445,37253.367,6893.312,1548.886
5.566667,250000.000,227161.408,50358.427,45674.429,37645.348,7035.846,1637.864
5.583333,250000.000,228086.463,50595.482,45923.736,38037.977,7178.977,1728.247
5.600000,250000.000,229013.632,50833.164,46173.383,38431.246,7322.694,1819.995
5.616667,250000.000,229942.811,51071.471,46423.382,38825.145,7466.985,1913.072
5.633333,250000.000,230873.909,51310.397,46673.746,39219.666,7611.842,2007.439
5.650000,250000.000,231806.838,51549.937,46924.487,39614.801,7757.255,2103.064
5.666667,250000.000,232741.520,51790.084,47175.617,40010.542,7903.213,2199.913
5.683333,250000.000,233677.876,52030.831,47427.147,40406.879,8049.708,2297.956
5.700000,250000.000,234615.832,52272.168,47679.085,40803.807,8196.730,2397.162
5.716667,250000.000,235555.317,52514.088,47931.438,41201.318,8344.271,2497.502
5.733333,250000.000,236496.260,52756.581,48184.214,41599.411,8492.322,2598.951
5.750000,250000.000,237438.595,52999.638,48437.417,41998.091,8640.875,2701.479
5.766667,250000.000,238382.260,53243.249,48691.053,42397.374,8789.922,2805.063
5.783333,250000.000,239327.195,53487.405,48945.124,42797.287,8939.455,2909.678
5.800000,250000.000,240273.343,53732.095,49199.634,43197.860,9089.466,3015.300
5.816667,250000.000,241220.652,53977.311,49454.584,43599.127,9239.948,3121.905
5.833333,250000.000,242169.070,54223.043,49709.975,44001.114,9390.894,3229.471
5.850000,250000.000,243118.551,54469.281,49965.809,44403.849,9542.296,3337.976
5.866667,250000.000,244069.047,54716.015,50222.086,44807.355,9694.147,3447.400
5.883333,250000.000,245020.517,54963.236,50478.805,45211.657,9846.441,3557.722
5.900000,250000.000,245972.918,55210.933,50735.966,45616.778,9999.172,3668.921
5.916667,250000.000,246926.213,55459.098,50993.567,46022.741,10152.334,3780.979
5.933333,250000.000,247880.363,55707.720,51251.607,46429.567,10305.923,3893.876
5.950000,250000.000,248835.334,55956.790,51510.083,46837.280,10459.936,4007.594
5.966667,250000.000,249791.093,56206.299,51768.995,47245.900,10614.371,4122.115
5.983333,250000.000,250747.606,56456.237,52028.338,47655.447,10769.226,4237.422
6.000000,250000.000,251704.844,56706.596,52288.110,48065.940,10924.501,4353.497
6.016667,250000.000,252662.778,56957.366,52548.308,48477.398,11080.196,4470.326
6.033333,250000.000,253621.380,57208.540,52808.928,48889.838,11236.311,4587.892
6.050000,250000.000,254580.625,57460.108,53069.966,49303.276,11392.846,4706.182
6.066667,250000.000,255540.487,57712.063,53331.419,49717.728,11549.803,4825.182
6.083333,250000.000,256500.942,57964.395,53593.283,50133.208,11707.181,4944.879
6.100000,250000.000,257461.969,58217.098,53855.554,50549.731,11864.984,5065.264
6.116667,250000.000,258423.545,58470.163,54118.226,50967.308,12023.212,5186.323
6.133333,250000.000,259385.649,58723.582,54381.297,51385.952,12181.867,5308.049
6.150000,250000.000,260348.263,58977.349,54644.760,51805.674,12340.950,5430.431
6.166667,250000.000,261311.367,59231.456,54908.613,52226.482,12500.465,5553.460
6.183333,250000.000,262274.944,59485.895,55172.850,52648.387,12660.413,5677.129
6.200000,250000.000,263238.977,59740.661,55437.465,53071.396,12820.797,5801.430
