time_h,head_inflow_m3s,Qdiv_71_m3s,Qdiv_89_m3s,Qdiv_150_m3s,Qdiv_194_m3s,Qdiv_287_m3s,Qdiv_349_m3s,Qdiv_383_m3s,supplied_71_m3,supplied_89_m3,supplied_150_m3,supplied_194_m3,supplied_287_m3,supplied_349_m3,supplied_383_m3
2.583333,80.000000,15.809546,13.819221,3.358607,2.987313,0.000000,0.000000,0.000000,98230.406,76605.378,10689.589,4702.783,0.000,0.000,0.000
2.600000,80.000000,15.810804,13.821937,3.365934,3.010582,0.000000,0.000000,0.000000,99179.018,77434.614,10891.330,4882.735,0.000,0.000,0.000
2.616667,80.000000,15.812020,13.824574,3.373107,3.033151,0.000000,0.000000,0.000000,100127.703,78264.011,11093.506,5064.061,0.000,0.000,0.000
2.633333,80.000000,15.813198,13.827137,3.380131,3.055055,0.000000,0.000000,0.000000,101076.461,79093.564,11296.107,5246.722,0.000,0.000,0.000
2.650000,80.000000,15.814338,13.829627,3.387013,3.076329,0.000000,0.000000,0.000000,102025.287,79923.269,11499.125,5430.677,0.000,0.000,0.000
2.666667,80.000000,15.815442,13.832049,3.393758,3.097001,0.000000,0.000000,0.000000,102974.181,80753.121,11702.553,5615.890,0.000,0.000,0.000
2.683333,80.000000,15.816512,13.834405,3.400372,3.117101,0.000000,0.000000,0.000000,103923.141,81583.116,11906.380,5802.326,0.000,0.000,0.000
2.700000,80.000000,15.817549,13.836698,3.406860,3.136655,0.000000,0.000000,0.000000,104872.163,82413.250,12110.601,5989.951,0.000,0.000,0.000
2.716667,80.000000,15.818554,13.838930,3.413225,3.155687,0.000000,0.000000,0.000000,105821.247,83243.521,12315.208,6178.733,0.000,0.000,0.000
2.733333,80.000000,15.819530,13.841105,3.419474,3.174223,0.000000,0.000000,0.000000,106770.390,84073.923,12520.192,6368.642,0.000,0.000,0.000
2.750000,80.000000,15.820476,13.843224,3.425610,3.192282,0.000000,0.000000,0.000000,107719.591,84904.454,12725.548,6559.649,0.000,0.000,0.000
2.766667,80.000000,15.821396,13.845289,3.431637,3.209886,0.000000,0.000000,0.000000,108668.848,85735.111,12931.269,6751.725,0.000,0.000,0.000
2.783333,80.000000,15.822288,13.847304,3.437560,3.227054,0.000000,0.000000,0.000000,109618.159,86565.890,13137.349,6944.844,0.000,0.000,0.000
2.800000,80.000000,15.823156,13.849270,3.443381,3.243804,0.000000,0.000000,0.000000,110567.523,87396.788,13343.780,7138.980,0.000,0.000,0.000
2.816667,80.000000,15.823999,13.851189,3.449105,3.260154,0.000000,0.000000,0.000000,111516.938,88227.803,13550.558,7334.109,0.000,0.000,0.000
2.833333,80.000000,15.824819,13.853062,3.454734,3.276119,0.000000,0.000000,0.000000,112466.403,89058.932,13757.677,7530.207,0.000,0.000,0.000
2.850000,80.000000,15.825617,13.854893,3.460272,3.291715,0.000000,0.000000,0.000000,113415.917,89890.172,13965.130,7727.252,0.000,0.000,0.000
2.866667,80.000000,15.826394,13.856683,3.465722,3.306956,0.000000,0.000000,0.000000,114365.477,90721.520,14172.913,7925.221,0.000,0.000,0.000
2.883333,80.000000,15.827151,13.858433,3.471087,3.321855,0.000000,0.000000,0.000000,115315.084,91552.975,14381.020,8124.094,0.000,0.000,0.000
2.900000,80.000000,15.827888,13.860145,3.476369,3.336427,0.000000,0.000000,0.000000,116264.736,92384.533,14589.447,8323.852,0.000,0.000,0.000
2.916667,80.000000,15.828606,13.861820,3.481571,3.350683,0.000000,0.000000,0.000000,117214.431,93216.193,14798.188,8524.474,0.000,0.000,0.000
2.933333,80.000000,15.829306,13.863460,3.486696,3.364634,0.000000,0.000000,0.000000,118164.169,94047.952,15007.239,8725.942,0.000,0.000,0.000
