node,distance_km,hmax_m,hmax_time_h,safe_depth_m,design_depth_m,exceeds_safe,exceeds_design
-1000229,0.231000,2.510261,14.000000,3.456000,3.840000,False,False
-1000230,0.232000,2.510949,14.000000,3.456000,3.840000,False,False
-1000231,0.233000,2.511638,14.000000,3.456000,3.840000,False,False
-1000232,0.234000,2.512327,14.000000,3.456000,3.840000,False,False
-1000233,0.235000,2.513016,14.000000,3.456000,3.840000,False,False
-1000234,0.236000,2.513706,14.000000,3.456000,3.840000,False,False
-1000235,0.237000,2.514395,14.000000,3.456000,3.840000,False,False
-1000236,0.238000,2.515085,14.000000,3.456000,3.840000,False,False
-1000237,0.239000,2.515776,14.000000,3.456000,3.840000,False,False
-1000238,0.240000,2.516466,14.000000,3.456000,3.840000,False,False
-1000239,0.241000,2.517157,14.000000,3.456000,3.840000,False,False
-1000240,0.242000,2.517849,14.000000,3.456000,3.840000,False,False
-1000241,0.243000,2.518540,14.000000,3.456000,3.840000,False,False
-1000242,0.244000,2.519232,14.000000,3.456000,3.840000,False,False
-1000243,0.245000,2.519924,14.000000,3.456000,3.840000,False,False
-1000244,0.246000,2.520616,14.000000,3.456000,3.840000,False,False
-1000245,0.247000,2.521309,14.000000,3.456000,3.840000,False,False
-1000246,0.248000,2.522002,14.000000,3.456000,3.840000,False,False
-1000247,0.249000,2.522695,14.000000,3.456000,3.840000,False,False
-1000248,0.250000,2.523389,14.000000,3.456000,3.840000,False,False
-1000249,0.251000,2.524082,14.000000,3.456000,3.840000,False,False
-1000250,0.252000,2.524776,14.000000,3.456000,3.840000,False,False
-1000251,0.253000,2.525471,14.000000,3.456000,3.840000,False,False
-1000252,0.254000,2.526165,14.000000,3.456000,3.840000,False,False
-1000253,0.255000,2.526860,14.000000,3.456000,3.840000,False,False
-1000254,0.256000,2.527556,14.000000,3.456000,3.840000,False,False
-1000255,0.257000,2.528251,14.000000,3.456000,3.840000,False,False
-1000256,0.258000,2.528947,14.000000,3.456000,3.840000,False,False
-1000257,0.259000,2.529643,14.000000,3.456000,3.840000,False,False
-1000258,0.260000,2.530339,14.000000,3.456000,3.840000,False,False
-1000259,0.261000,2.531036,14.000000,3.456000,3.840000,False,False
6,0.262022,2.531748,14.000000,3.456000,3.840000,False,False
-1000260,0.263000,2.532430,14.000000,3.456000,3.840000,False,False
-1000261,0.264000,2.533127,14.000000,3.456000,3.840000,False,False
-1000262,0.265000,2.533825,14.000000,3.456000,3.840000,False,False
-1000263,0.266000,2.534523,14.000000,3.456000,3.840000,False,False
-1000264,0.267000,2.535222,14.000000,3.456000,3.840000,False,False
-1000265,0.268000,2.535920,14.000000,3.456000,3.840000,False,False
-1000266,0.269000,2.536619,14.000000,3.456000,3.840000,False,False
-1000267,0.270000,2.537318,14.000000,3.456000,3.840000,False,False
-1000268,0.271000,2.538018,14.000000,3.456000,3.840000,False,False
-1000269,0.272000,2.538717,14.000000,3.456000,3.840000,False,False
-1000270,0.273000,2.539417,14.000000,3.456000,3.840000,False,False
-1000271,0.274000,2.540118,14.000000,3.456000,3.840000,False,False
-1000272,0.275000,2.540818,14.000000,3.456000,3.840000,False,False
-1000273,0.276000,2.541519,14.000000,3.456000,3.840000,False,False
-1000274,0.277000,2.542220,14.000000,3.456000,3.840000,False,False
-1000275,0.278000,2.542922,14.000000,3.456000,3.840000,False,False
-1000276,0.279000,2.543623,14.000000,3.456000,3.840000,False,False
-1000277,0.280000,2.544325,14.000000,3.456000,3.840000,False,False
-1000278,0.281000,2.545028,14.000000,3.456000,3.840000,False,False
-1000279,0.282000,2.545730,14.000000,3.456000,3.840000,False,False
-1000280,0.283000,2.546433,14.000000,3.456000,3.840000,False,False
-1000281,0.284000,2.547136,14.000000,3.456000,3.840000,False,False
-1000282,0.285000,2.547839,14.000000,3.456000,3.840000,False,False
-1000283,0.286000,2.548543,14.000000,3.456000,3.840000,False,False
-1000284,0.287000,2.549247,14.000000,3.456000,3.840000,False,False
-1000285,0.288000,2.549951,14.000000,3.456000,3.840000,False,False
-1000286,0.289000,2.550655,14.000000,3.456000,3.840000,False,False
-1000287,0.290000,2.551360,14.000000,3.456000,3.840000,False,False
-1000288,0.291000,2.552065,14.000000,3.456000,3.840000,False,False
-1000289,0.292000,2.552771,14.000000,3.456000,3.840000,False,False
-1000290,0.293000,2.553476,14.000000,3.456000,3.840000,False,False
-1000291,0.294000,2.554182,14.000000,3.456000,3.840000,False,False
-1000292,0.295000,2.554888,14.000000,3.456000,3.840000,False,False
-1000293,0.296000,2.555594,14.000000,3.456000,3.840000,False,False
-1000294,0.297000,2.556301,14.000000,3.456000,3.840000,False,False
-1000295,0.298000,2.557008,14.000000,3.456000,3.840000,False,False
-1000296,0.299000,2.557715,14.000000,3.456000,3.840000,False,False
-1000297,0.300000,2.558423,14.000000,3.456000,3.840000,False,False
-1000298,0.301000,2.559131,14.000000,3.456000,3.840000,False,False
-1000299,0.302000,2.559839,14.000000,3.456000,3.840000,False,False
-1000300,0.303000,2.560547,14.000000,3.456000,3.840000,False,False
-1000301,0.304000,2.561256,14.000000,3.456000,3.840000,False,False
-1000302,0.305000,2.561964,14.000000,3.456000,3.840000,False,False
7,0.305693,2.562456,14.000000,3.456000,3.840000,False,False
-1000303,0.306000,2.562674,14.000000,3.456000,3.840000,False,False
-1000304,0.307000,2.563383,14.000000,3.456000,3.840000,False,False
-1000305,0.308000,2.564093,14.000000,3.456000,3.840000,False,False
-1000306,0.309000,2.564803,14.000000,3.456000,3.840000,False,False
